Build Num,slow_ratio,repository_id
383,0.003,1213154
779,0.822,1225172
2169,0.513,1225798
540,0.026,1226406
337,0.519,1228648
376,0.106,1229073
438,0.039,1230925
1572,0.116,1231111
425,0.000,1233052
2270,0.011,1234394
452,0.000,1234910
688,0.102,1235317
1377,0.281,1243720
315,0.889,1248069
621,0.665,1248482
5259,0.531,1248680
3215,0.059,1248690
335,0.018,1248808
1240,0.003,1254722
1508,0.044,1255697
329,0.000,1255787
365,0.003,1258916
486,0.000,1259333
449,0.276,1260239
2284,0.558,1263251
2508,0.508,1264373
3841,0.687,1264503
488,0.105,1270334
338,0.003,1270455
1416,0.925,1271641
995,0.011,1278185
876,0.437,1278509
697,0.019,1278856
11771,0.969,1278894
7543,0.857,1279010
475,0.006,1279351
3166,0.936,1279961
300,0.023,1280752
4587,0.127,1281411
344,0.099,1281494
1372,0.628,1282109
1142,0.316,1284417
957,0.209,1284675
332,0.000,1286105
378,0.275,1287389
2854,0.002,1287412
528,0.000,1291539
1138,0.116,1292048
586,0.000,1292252
1241,0.963,1292633
312,0.003,1292843
496,0.000,1299341
524,0.368,1299781
1502,0.000,1300794
451,0.572,1305275
376,0.008,1307029
577,0.471,1307791
1268,0.351,1311260
407,0.641,1312219
1318,0.280,1314382
385,0.956,1317887
315,0.241,1320945
1709,0.007,1321163
672,0.003,1321335
789,0.000,1321796
538,0.203,1324705
607,0.109,1339029
2423,0.763,1339526
1333,0.726,1340351
3463,0.185,1341533
706,0.011,1342424
1079,0.551,1345141
1104,0.011,1345837
1378,0.181,1346234
818,0.037,1346451
1209,0.192,1346554
826,0.063,1346756
595,0.077,1347199
5374,0.830,1347735
7029,0.786,1347749
1023,0.909,1353673
490,0.014,1354247
3840,0.283,1354351
456,0.002,1354398
664,0.026,1355292
347,0.075,1356622
3723,0.167,1356681
1070,0.121,1356683
331,0.000,1356872
918,0.009,1357231
414,0.802,1357642
567,0.009,1357814
378,0.474,1357875
729,0.995,1358099
422,0.403,1358472
771,0.927,1359097
446,0.998,1359485
2715,0.178,1359844
12845,0.886,1360012
643,0.829,1360013
7293,0.691,1360435
900,0.663,1369981
329,0.359,1384765
306,0.013,1384845
1048,0.091,1397207
914,0.051,1398766
348,0.057,1404142
485,0.202,1404862
359,0.852,1405889
714,0.202,1405929
10177,0.911,1406714
309,0.003,1406984
